"Page not found.","Хуудас олдсонгүй."
Feed,Фийд
"Miscellaneous Feeds","Бусад фийдүүд"
"Get Feed","Фийд авах"
"RSS Feeds","RSS фийд"
"Rss Config","Rss тохиргоо"
"Enable RSS","RSS идэвхижүүлэх"
