"Dictionary (Translation on Storefront side)","Толь бичиг (Дэлгүүрийн нүүрэн дэхь орчуулга)"
"Embedded (Translation on Admin side)","Оруулсан (Админ хэсгийн орчуулга)"
"Translation Strategy","Орчуулгын стратеги"
Translations,Орчуулгууд
"Translation files.","Орчуулгын файлууд."
