"Format for IDE '%1' is not supported","IDE-д зориулсан формат '%1' дэмжигдэхгүй"
"Client side less compilation","Клиент тал бага дамжуулалт"
"Server side less compilation","Сервер тал бага дамжуулалт"
"Front-end development workflow","Фронт талын хөгжүүлэлтийн үйл явц
"Workflow type","Үйл явцын төрөл"
"Not available in production mode","Продакшн хэлбэрт боломжгүй"
"Developer Client Restrictions","Хөгжүүлэгч клиент хязгаарлалт"
"Allowed IPs (comma separated)","Зөвшөөрөгдсөн IP-ууд (таслалаар тусгаарлагдана)"
"Leave empty for access from any location.","Хаанаас ч хэрэглэж болох бол хоосон орхи."
