"Static Blocks","Статик блок"
"Browser Capabilities Detection","Хөтөчийн боломжуудыг илрүүлэх"
"Redirect to CMS-page if Cookies are Disabled","Хэрэв күүки идэвхигүй байвал CMS хуудас руу үсрэх"
"Show Notice if JavaScript is Disabled","Жаваскрипт хаагдсан байвал сонордуулга харуулах"
"Show Notice if Local Storage is Disabled","Локал агууламж хаалттай байвал сонордуулга харуулах"
"Content Management","Агуулга удирдах"
"WYSIWYG Options","WYSIWYG сонголтууд"
"Enable WYSIWYG Editor","WYSIWYG едитор идэвхижүүлэх"
"CMS Page Link","CMS хуудас холбоос"
"Link to a CMS Page","CMS хуудас руу холбоос"
"CMS Page","CMS хуудас"
"Select Page...","Хуудас сонгоно уу..."
"Anchor Custom Text","Анчор хэрэглэгчийн текст"
"If empty, the Page Title will be used","Хэрэв хоосон бол хуудасны гарчиг хэрэглэгдэнэ"
"Anchor Custom Title","Анчор хэрэглэгчийн гарчиг"
Template,Темплэйт
"CMS Page Link Block Template","CMS хуудас блок темплэйт"
"CMS Page Link Inline Template","CMS хуудас холбоос доторх темплэйт"
"CMS Static Block","CMS статик блок"
"Contents of a Static Block","Статик блокуудын агуулгууд"
Block,Блок
"Select Block...","Блок сонгох..."
"CMS Static Block Default Template","CMS статик блок стандарт темплэйт"
"Delete items","Зүйлүүдийг устгах"
"Are you sure you wan't to delete selected items?","Сонгосон зүйлүүдийг устгахдаа итгэлтэй байна уу?"
Disable,Хаах
Enable,Нээх
"Custom design from","Хэрэглэгчийн дизайн хаанаас"
"Custom design to","Хэрэглэгчийн дизайн хаашаа"
