"You deleted the customer group.","You deleted the customer group."
"The customer group no longer exists.","The customer group no longer exists."
Customers,Customers
"New Group","New Group"
"New Customer Groups","New Customer Groups"
"Edit Group","Edit Group"
"Edit Customer Groups","Edit Customer Groups"
"You saved the customer group.","You saved the customer group."
"Please select customer(s).","Please select customer(s)."
"Customer could not be deleted.","Customer could not be deleted."
"You deleted the customer.","You deleted the customer."
"Something went wrong while editing the customer.","Something went wrong while editing the customer."
"Manage Customers","Manage Customers"
"Please correct the data sent.","Please correct the data sent."
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
"A total of %1 record(s) were deleted.","A total of %1 record(s) were deleted."
"The customer will receive an email with a link to reset password.","The customer will receive an email with a link to reset password."
"Something went wrong while resetting customer password.","Something went wrong while resetting customer password."
"You saved the customer.","You saved the customer."
"Something went wrong while saving the customer.","Something went wrong while saving the customer."
"Page not found.","Page not found."
"Online Customers","Online Customers"
"Customers Now Online","Customers Now Online"
"Please define Wish List item ID.","Please define Wish List item ID."
"Please load Wish List item.","Please load Wish List item."
"Login successful.","Login successful."
"""%1"" section source is not supported","""%1"" section source is not supported"
"%1 doesn\'t extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 doesn\'t extend \Magento\Customer\CustomerData\SectionSourceInterface"
"No confirmation needed.","No confirmation needed."
"Account already active","Account already active"
"Invalid confirmation token","Invalid confirmation token"
"This account is not confirmed.","This account is not confirmed."
"This customer already exists in this store.","This customer already exists in this store."
"A customer with the same email already exists in an associated website.","A customer with the same email already exists in an associated website."
"The password doesn\'t match this account.","The password doesn\'t match this account."
"Please enter a password with at least %1 characters.","Please enter a password with at least %1 characters."
"The password can\'t begin or end with a space.","The password can\'t begin or end with a space."
"Reset password token mismatch.","Reset password token mismatch."
"Reset password token expired.","Reset password token expired."
"Please correct the transactional account email type.","Please correct the transactional account email type."
"Please enter the first name.","Please enter the first name."
"Please enter the last name.","Please enter the last name."
"Please enter the street.","Please enter the street."
"Please enter the city.","Please enter the city."
"Please enter the phone number.","Please enter the phone number."
"Please enter the zip/postal code.","Please enter the zip/postal code."
"Please enter the country.","Please enter the country."
"Please enter the state/province.","Please enter the state/province."
"""%1"" is a required value.","""%1"" is a required value."
Global,Global
"Per Website","Per Website"
"We can\'t share customer accounts globally when the accounts share identical email addresses on more than one website.","We can\'t share customer accounts globally when the accounts share identical email addresses on more than one website."
"Billing Address","Billing Address"
"Shipping Address","Shipping Address"
"-- Please Select --","-- Please Select --"
"Please enter a first name.","Please enter a first name."
"Please enter a last name.","Please enter a last name."
"Please correct this email address: ""%1"".","Please correct this email address: ""%1""."
"Please enter a date of birth.","Please enter a date of birth."
"Please enter a TAX/VAT number.","Please enter a TAX/VAT number."
"Please enter a gender.","Please enter a gender."
"Please enter a valid password reset token.","Please enter a valid password reset token."
"The password can not begin or end with a space.","The password can not begin or end with a space."
Admin,Admin
"Attribute object is undefined","Attribute object is undefined"
"""%1"" invalid type entered.","""%1"" invalid type entered."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" contains non-alphabetic or non-numeric characters."
"""%1"" is an empty string.","""%1"" is an empty string."
"""%1"" contains non-numeric characters.","""%1"" contains non-numeric characters."
"""%1"" contains non-alphabetic characters.","""%1"" contains non-alphabetic characters."
"""%1"" is not a valid email address.","""%1"" is not a valid email address."
"""%1"" is not a valid hostname.","""%1"" is not a valid hostname."
"""%1"" uses too many characters.","""%1"" uses too many characters."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' looks like an IP address, which is not an acceptable format."
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' looks like a DNS hostname but we cannot match the TLD against known list."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' looks like a DNS hostname but contains a dash in an invalid position."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' looks like a DNS hostname but cannot extract TLD part."
"'%value%' does not look like a valid local network name.","'%value%' does not look like a valid local network name."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' looks like a local network name, which is not an acceptable format."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded."
"""%1"" is not a valid URL.","""%1"" is not a valid URL."
"""%1"" is not a valid date.","""%1"" is not a valid date."
"""%1"" does not fit the entered date format.","""%1"" does not fit the entered date format."
"Please enter a valid date between %1 and %2 at %3.","Please enter a valid date between %1 and %2 at %3."
"Please enter a valid date equal to or greater than %1 at %2.","Please enter a valid date equal to or greater than %1 at %2."
"Please enter a valid date less than or equal to %1 at %2.","Please enter a valid date less than or equal to %1 at %2."
"""%1"" is not a valid file extension.","""%1"" is not a valid file extension."
"""%1"" is not a valid file.","""%1"" is not a valid file."
"""%1"" exceeds the allowed file size.","""%1"" exceeds the allowed file size."
"""%1"" is not a valid image format.","""%1"" is not a valid image format."
"""%1"" width exceeds allowed value of %2 px.","""%1"" width exceeds allowed value of %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" height exceeds allowed value of %2 px."
"""%1"" length must be equal or greater than %2 characters.","""%1"" length must be equal or greater than %2 characters."
"""%1"" length must be equal or less than %2 characters.","""%1"" length must be equal or less than %2 characters."
label,label
"Please enter a customer email.","Please enter a customer email."
"A customer website ID must be specified when using the website scope.","A customer website ID must be specified when using the website scope."
"Customer Group","Customer Group"
"You can\'t delete group ""%1"".","You can\'t delete group ""%1""."
"Customer Group already exists.","Customer Group already exists."
"Cannot delete group.","Cannot delete group."
"Error during VAT Number verification.","Error during VAT Number verification."
"PHP SOAP extension is required.","PHP SOAP extension is required."
"VAT Number is valid.","VAT Number is valid."
"Please enter a valid VAT number.","Please enter a valid VAT number."
"Your VAT ID was successfully validated.","Your VAT ID was successfully validated."
"You will be charged tax.","You will be charged tax."
"You will not be charged tax.","You will not be charged tax."
"The VAT ID entered (%1) is not a valid VAT ID.","The VAT ID entered (%1) is not a valid VAT ID."
"Your Tax ID cannot be validated.","Your Tax ID cannot be validated."
"If you believe this is an error, please contact us at %1","If you believe this is an error, please contact us at %1"
Male,Male
Female,Female
"Not Specified","Not Specified"
"Thank you for registering with","Thank you for registering with"
"enter your billing address for proper VAT calculation","enter your billing address for proper VAT calculation"
"enter your shipping address for proper VAT calculation","enter your shipping address for proper VAT calculation"
message,message
NoSuchEntityException,NoSuchEntityException
Exception,Exception
InputException,InputException
"Exception message","Exception message"
"Validator Exception","Validator Exception"
"Localized Exception","Localized Exception"
Label,Label
Select...,Select...
Edit,Edit
Visitor,Visitor
Customer,Customer
"No item specified.","No item specified."
"Are you sure you want to remove this item?","Are you sure you want to remove this item?"
"Personal Information","Хувийн мэдээлэл"
"Last Logged In:","Last Logged In:"
"Last Logged In (%1):","Last Logged In (%1):"
"Confirmed email:","Confirmed email:"
"Account Created:","Account Created:"
"Account Created on (%1):","Account Created on (%1):"
"Account Created in:","Account Created in:"
"Customer Group:","Customer Group:"
"Default Billing Address","Стандарт нэхэмжлэлийн хаяг"
"Sales Statistics","Sales Statistics"
"Web Site","Web Site"
Store,Store
"Store View","Store View"
"Lifetime Sales","Lifetime Sales"
"Average Sale","Average Sale"
"All Store Views","All Store Views"
Change,Өөрчлөх
"Manage Addresses","Хаяг өөрчлөх"
"Default Shipping Address","Стандарт хүргэлтийн хаяг"
"Contact Information","Харилцах мэдээлэл"
"Change Password","Нууц үг өөрчлөх"
Newsletters,"Зар мэдээлэл"
"You subscribe to ""General Subscription"".","You subscribe to ""General Subscription""."
or,or
"Default Addresses","Default Addresses"
"Change Billing Address","Change Billing Address"
"You have no default billing address in your address book.","You have no default billing address in your address book."
"Change Shipping Address","Change Shipping Address"
"You have no default shipping address in your address book.","You have no default shipping address in your address book."
"Additional Address Entries","Additional Address Entries"
"Delete Address","Delete Address"
"You have no other address entries in your address book.","You have no other address entries in your address book."
"* Required Fields","* Required Fields"
Company,Company
